number,values_0,values_1,params_alpha1,params_alpha2,params_lambda0,params_lambda1,user_attrs_ACC,user_attrs_BWT
23,-0.06393331785996755,0.03370776027441025,0.1895754913268838,0.11623923105307218,24.853845095262,1409.2291316435578,-0.06393331785996755,0.03370776027441025
24,-0.0781385600566864,0.03929594159126282,2.2743121043609684,0.05109294741890626,574.8291778269796,11.490069048873199,-0.0781385600566864,0.03929594159126282
25,-0.05117047826449076,-0.01685897633433342,1.4769236624780775,4.200945956721113,1080.0642976741367,64.56897906217105,-0.05117047826449076,-0.01685897633433342
26,-0.037501138945420585,-0.010235941037535667,0.7639305303538543,0.6973869494036397,55.75186893674789,535.1456545529513,-0.037501138945420585,-0.010235941037535667
27,-0.05246380468209585,-0.011420675553381443,0.3919410588609581,2.4648321455679736,46.69226029558979,7215.177748314327,-0.05246380468209585,-0.011420675553381443
28,-0.05967764059702555,0.0035089952871203423,2.1211219770832277,0.3104427243600875,1254.4051430643326,78.03884850277908,-0.05967764059702555,0.0035089952871203423
29,-0.03827729572852453,-0.019385306164622307,2.900285344454275,1.2134815691895429,4398.550589524231,554.3941231681783,-0.03827729572852453,-0.019385306164622307
30,-0.03377903997898102,-0.022458873689174652,4.084484701880023,0.970399139604113,1498.8661076850783,319.13405152468215,-0.03377903997898102,-0.022458873689174652
31,-0.024357241888840992,-0.029789496213197708,0.05462059175685835,0.20050242872654409,186.88099841937904,659.446613570237,-0.024357241888840992,-0.029789496213197708
32,-0.026332378387451172,-0.016970813274383545,0.8609954617726744,0.3601698924885072,956.1380741535597,74.17077580505226,-0.026332378387451172,-0.016970813274383545
33,-0.02665691077709198,-0.025723326951265335,0.6900806116522946,0.7598284083036186,25.493073180721165,78.49590083353905,-0.02665691077709198,-0.025723326951265335
34,-0.058295617500940956,0.00419397559016943,1.0073410782058425,0.3645917819100857,528.4157412383813,911.1763933595844,-0.058295617500940956,0.00419397559016943
35,-0.05070095260938009,-0.02051466889679432,0.37213443164379656,3.039601949409061,4893.727555349514,126.67345328336822,-0.05070095260938009,-0.02051466889679432
36,-0.06139247616132101,-0.011020150035619736,0.07932750204862977,3.450922704268566,2621.6938007596395,1293.2001628255202,-0.06139247616132101,-0.011020150035619736
37,-0.044073993961016335,-0.019321728497743607,0.09950997420288499,2.724094184555365,1389.069254026064,9920.670368929652,-0.044073993961016335,-0.019321728497743607
38,-0.04670114815235138,-0.017528178170323372,0.08843210645318307,2.4830557068969616,30.724074111466447,702.5523533015082,-0.04670114815235138,-0.017528178170323372
39,-0.029009078939755756,-0.023214060813188553,0.326089337764258,0.06875495390512427,2642.1463889976067,509.68542639990295,-0.029009078939755756,-0.023214060813188553
40,-0.0480967660744985,-0.013062609359622002,1.390212545316446,2.7023068131481036,1236.7625311726765,229.41829510695285,-0.0480967660744985,-0.013062609359622002
41,-0.041496659318606056,-0.007304679602384567,0.052771346140581946,0.26237722427586135,8444.316740128097,3693.2612310996383,-0.041496659318606056,-0.007304679602384567
42,-0.04363540808359782,-0.002313535660505295,0.5508625101338049,0.0642164038213619,1548.7156510304176,32.7257065512027,-0.04363540808359782,-0.002313535660505295
43,-0.03412586202224096,-0.012671897187829018,1.9335945399615635,0.1402230407053052,39.80976140397893,11.364893841747687,-0.03412586202224096,-0.012671897187829018
44,-0.02469774583975474,-0.01840166747570038,1.2817366661307747,0.05789590718674635,108.65633249460467,6084.765986559315,-0.02469774583975474,-0.01840166747570038
45,-0.02896162619193395,-0.017224512994289398,0.7135545529070991,0.14953940457939055,31.19481895713798,731.8721218160566,-0.02896162619193395,-0.017224512994289398
46,-0.054366896549860634,-0.0044974880293011665,0.5891631973414492,0.7564669475158445,6348.074190853713,694.8608894272318,-0.054366896549860634,-0.0044974880293011665
47,-0.054995874563852944,0.012715853750705719,0.3129047304277198,0.13141880151481175,1550.1227443631763,86.26507146510404,-0.054995874563852944,0.012715853750705719
48,-0.029036834836006165,-0.02846081182360649,1.506855454266516,0.4785062575940407,36.18920291309286,6809.530508136838,-0.029036834836006165,-0.02846081182360649
49,-0.019358282287915547,-0.03711992874741554,0.06531731516589172,0.36966067776906036,48.11094460982542,57.95213566496779,-0.019358282287915547,-0.03711992874741554
