number,value,datetime_start,datetime_complete,duration,params_lambda1,params_lambda2,user_attrs_val_update1,user_attrs_val_update2,state
33,0.005323786502246497,2025-06-18 13:02:47.333565,2025-06-18 13:45:14.516951,0 days 00:42:27.183386,81.72085854763365,19.767650189074253,0.005195742673513653,0.005323786502246497,COMPLETE
34,0.000629613623822753,2025-06-18 13:45:14.518967,2025-06-18 15:07:28.602359,0 days 01:22:14.083392,144.93365021123313,47.68469350708438,0.007882799047239196,0.000629613623822753,COMPLETE
35,0.0006720646435463385,2025-06-18 15:07:28.604331,2025-06-18 16:22:56.634337,0 days 01:15:28.030006,158.45479480719385,73.10903263746195,0.00570164586220041,0.0006720646435463385,COMPLETE
36,0.0004887699188063924,2025-06-18 16:22:56.636476,2025-06-18 17:28:20.101815,0 days 01:05:23.465339,5697.759292710986,30.43213844871792,0.006062509273001138,0.0004887699188063924,COMPLETE
37,0.0005256109782248048,2025-06-18 17:28:20.103874,2025-06-18 18:51:48.995017,0 days 01:23:28.891143,1105.9057887484553,217.50127059793073,0.004165188565402624,0.0005256109782248048,COMPLETE
38,0.001811612510345022,2025-06-18 18:51:48.997612,2025-06-18 19:47:40.076000,0 days 00:55:51.078388,2731.690491280943,9346.6616617608,0.004090926080063875,0.001811612510345022,COMPLETE
39,0.0002889338253666067,2025-06-18 19:47:40.077765,2025-06-18 21:05:28.612470,0 days 01:17:48.534705,37.071584422354434,15.056237088507828,0.006335731753634418,0.0002889338253666067,COMPLETE
40,0.0013542982876312505,2025-06-18 21:05:28.614204,2025-06-18 22:11:46.488106,0 days 01:06:17.873902,28.811001529917167,29.944757202777883,0.005387242959317047,0.0013542982876312505,COMPLETE
41,0.002425006618464643,2025-06-18 22:11:46.490257,2025-06-18 23:04:47.990432,0 days 00:53:01.500175,21.543418530422123,13.157936903160438,0.006378965029545682,0.002425006618464643,COMPLETE
42,0.0006851868826095788,2025-06-18 23:04:47.998908,2025-06-19 00:29:11.788957,0 days 01:24:23.790049,60.49533386073628,16.954446745889037,0.004862384424687056,0.0006851868826095788,COMPLETE
43,0.0016324923238458747,2025-06-19 00:29:11.800593,2025-06-19 01:21:08.081967,0 days 00:51:56.281374,104.12818825040549,22.83944206764123,0.005000322186947029,0.0016324923238458747,COMPLETE
44,0.002179321622990446,2025-06-19 01:21:08.084165,2025-06-19 02:29:06.698851,0 days 01:07:58.614686,9525.63404201479,83.82411751041198,0.004978834904590518,0.002179321622990446,COMPLETE
45,0.0016259939267812755,2025-06-19 02:29:06.732007,2025-06-19 03:29:06.892233,0 days 01:00:00.160226,181.09558238043823,10.575338427071568,0.006761058264869462,0.0016259939267812755,COMPLETE
46,0.00030463009446658046,2025-06-19 03:29:06.895069,2025-06-19 05:01:54.763295,0 days 01:32:47.868226,35.903428301354836,53.13635968576181,0.007306333245215098,0.00030463009446658046,COMPLETE
47,0.005979046575790149,2025-06-19 05:01:54.765093,2025-06-19 05:56:51.938235,0 days 00:54:57.173142,32.11248154009776,55.90865540811883,0.005472682393138817,0.005979046575790149,COMPLETE
48,0.0003980907189723669,2025-06-19 05:56:51.940601,2025-06-19 07:15:00.400380,0 days 01:18:08.459779,15.46185778661095,165.3616072889652,0.0054358176128145785,0.0003980907189723669,COMPLETE
49,0.0010351381288520082,2025-06-19 07:15:00.413858,2025-06-19 08:17:36.628736,0 days 01:02:36.214878,11.316326940253873,93.30720824423283,0.005264416956918987,0.0010351381288520082,COMPLETE
