number,state,values_0,params_alpha1,params_alpha2,params_lambda0,params_lambda1,user_attrs_avg_mae,user_attrs_mae_values
36,COMPLETE,0.022953607141971588,1.0915110142663638,1.0835680005371129,309.51080143655884,127.96990611533369,0.022953607141971588,"[0.0413762703537941, 0.013009460642933846, 0.01447509415447712]"
37,COMPLETE,0.025729598477482796,1.671217309979077,0.4970154977427293,104.98513330413188,198.16281892237038,0.025729598477482796,"[0.019610706716775894, 0.025746174156665802, 0.03183191642165184]"
38,COMPLETE,0.030581584200263023,1.5694936851123895,0.901050155332889,1408.2513043536578,346.68140886450243,0.030581584200263023,"[0.01959947869181633, 0.029485268518328667, 0.042660001665353775]"
39,COMPLETE,0.04381685331463814,1.2908359007474794,0.2228643116918934,744.6294493363903,3704.4830484024765,0.04381685331463814,"[0.0628916323184967, 0.03733270242810249, 0.031226234510540962]"
40,COMPLETE,0.02457108162343502,0.7189524073359672,1.1763664121517743,334.5952951144714,1779.2253546495401,0.02457108162343502,"[0.019838137552142143, 0.016914289444684982, 0.036960821598768234]"
41,COMPLETE,0.027554454281926155,1.1143142596539632,1.0804892194361992,248.4069068074647,99.694258463673,0.027554454281926155,"[0.0424298532307148, 0.011145967058837414, 0.029087543487548828]"
42,COMPLETE,0.04330846294760704,1.0123391281884695,1.3974713429697516,151.7049387512341,36.63574744695602,0.04330846294760704,"[0.015208817087113857, 0.0547482855618, 0.05996828153729439]"
43,COMPLETE,0.02476404421031475,1.1754656993564663,1.0182363527154408,385.70993282776953,104.79779037445942,0.02476404421031475,"[0.023950351402163506, 0.021592402830719948, 0.02874937653541565]"
44,COMPLETE,0.03333979472517967,1.3309700620913703,0.8274969192919451,91.77657863927844,51.63219723775632,0.03333979472517967,"[0.048748284578323364, 0.013175031170248985, 0.03809606656432152]"
45,COMPLETE,0.03484378382563591,0.9078434188779445,1.1751408532756848,204.243781475395,203.53228834107085,0.03484378382563591,"[0.04585926607251167, 0.019700009375810623, 0.03897206857800484]"
