number,value,datetime_start,datetime_complete,duration,params_factor,params_lr,params_smooth_alpha,state
27,0.03713323329559092,2025-07-26 13:47:58.351078,2025-07-26 13:52:09.766637,0 days 00:04:11.415559,0.3704474893412063,0.0004098034880788166,0.10185141330246553,PRUNED
28,0.03066516230899853,2025-07-26 13:52:09.801847,2025-07-26 14:05:18.537568,0 days 00:13:08.735721,0.5472675634365726,0.00016783983166510026,0.1787207739464448,PRUNED
29,0.026072421497257976,2025-07-26 14:05:18.592442,2025-07-26 14:26:05.139029,0 days 00:20:46.546587,0.498067352543597,0.00022870458110302828,0.22166535084811503,PRUNED
30,0.028127695168799614,2025-07-26 14:26:05.269065,2025-07-26 14:39:13.779626,0 days 00:13:08.510561,0.16106072560286752,8.18179912258049e-05,0.04426114110237643,PRUNED
31,0.02850065554115082,2025-07-26 14:39:14.183624,2025-07-26 14:54:31.374532,0 days 00:15:17.190908,0.12923734779170148,0.00012265599757735354,0.13681392365343736,PRUNED
32,0.03429415692735493,2025-07-26 14:54:31.403295,2025-07-26 14:58:12.184935,0 days 00:03:40.781640,0.22291358600642217,0.00013214823067996746,0.1495294236423413,PRUNED
33,0.03522755704025838,2025-07-26 14:58:12.243397,2025-07-26 15:05:32.300312,0 days 00:07:20.056915,0.10440859703764019,7.357599610625544e-05,0.16371822185477772,PRUNED
34,0.03251227399147413,2025-07-26 15:05:32.315295,2025-07-26 15:12:52.121726,0 days 00:07:19.806431,0.2613694442759029,4.3013462850857084e-05,0.1137835439921803,PRUNED
35,0.02135970415259815,2025-07-26 15:12:52.147926,2025-07-26 15:28:00.811511,0 days 00:15:08.663585,0.4891595039091817,0.00020754548847939412,0.08783841660182189,PRUNED
36,0.028552544845190406,2025-07-26 15:28:00.873766,2025-07-26 15:39:17.256586,0 days 00:11:16.382820,0.2540094927445613,0.0003104079004767982,0.15113510243757536,PRUNED
37,0.021447380436241798,2025-07-26 15:39:17.285444,2025-07-26 15:53:31.933821,0 days 00:14:14.648377,0.2988417943550572,0.00014109590463838104,0.17100210117862102,PRUNED
38,0.047484666951015046,2025-07-26 15:53:31.984731,2025-07-26 15:57:26.221645,0 days 00:03:54.236914,0.591486528818818,5.157803691368806e-05,0.19355009161230086,PRUNED
39,0.04688237907549559,2025-07-26 15:57:26.250473,2025-07-26 16:01:08.230976,0 days 00:03:41.980503,0.6937550991620053,0.00026771325816822203,0.14143929001339053,PRUNED
40,0.020606563216929996,2025-07-26 16:01:08.237961,2025-07-26 16:15:03.911046,0 days 00:13:55.673085,0.42484538305030595,0.0004547781928633727,0.2755975414064232,PRUNED
41,0.03238246350206214,2025-07-26 16:15:03.917501,2025-07-26 16:21:49.469565,0 days 00:06:45.552064,0.2224067789918424,6.863000975182325e-05,0.1579339216657617,PRUNED
42,0.040495689196781544,2025-07-26 16:21:49.497597,2025-07-26 16:25:10.726641,0 days 00:03:21.229044,0.15682255836347758,9.96831061700015e-05,0.19251627331281632,PRUNED
43,0.0371952675248707,2025-07-26 16:25:10.746078,2025-07-26 16:28:37.029377,0 days 00:03:26.283299,0.21454218596946373,0.000153379118726815,0.11374317765185606,PRUNED
44,0.03988576079398425,2025-07-26 16:28:37.059395,2025-07-26 16:32:11.083501,0 days 00:03:34.024106,0.27999947263990677,3.55193247475415e-05,0.13192486371737672,PRUNED
45,0.03579840966167225,2025-07-26 16:32:11.109752,2025-07-26 16:35:45.402427,0 days 00:03:34.292675,0.3350677983958623,5.98201322230109e-05,0.2150875773575572,PRUNED
46,0.03973639500675996,2025-07-26 16:35:45.424931,2025-07-26 16:39:21.846661,0 days 00:03:36.421730,0.1502342231973174,2.9485411857797016e-05,0.1572755446385527,PRUNED
47,0.035035285070725015,2025-07-26 16:39:21.872222,2025-07-26 16:43:04.891770,0 days 00:03:43.019548,0.18863289669273436,9.573523762506068e-05,0.10982952643813787,PRUNED
48,0.015042346588868041,2025-07-26 16:43:04.924908,2025-07-26 17:55:55.970562,0 days 01:12:51.045654,0.8566616160920724,0.0001914372333691764,0.08203399731442851,PRUNED
49,0.021825435173315803,2025-07-26 17:55:56.043084,2025-07-26 18:49:43.489709,0 days 00:53:47.446625,0.4032013549672545,0.00033495369968419874,0.14538513309464082,PRUNED
