number,state,values_0,params_alpha1,params_alpha2,params_lam0,params_lam1,user_attrs_MAEs,user_attrs_R2s,user_attrs_acc_mae,user_attrs_acc_r2
36,COMPLETE,0.03894313797354698,1.841459834430069,0.5404748670310445,31.498423576021256,16.777983236709247,"[0.04898139089345932, 0.023899270221590996, 0.04394875094294548]","[-3.222774028778076, -0.8587713241577148, -13.198554039001465]",0.03894313797354698,-5.760033130645752
37,PRUNED,-1.6121872663497925,1.3606841997056875,1.634227505663864,81.58301893009916,44.909872569094674,,,,
38,PRUNED,-1.7565926611423492,1.5195841634508516,0.7806367739628615,1722.384795950636,29.944629489589616,,,,
39,PRUNED,-2.2355072796344757,1.9981326818901934,0.9418033865061832,825.8497890922814,19.550775967358497,,,,
40,PRUNED,-2.1252954304218292,1.7018149684122683,0.6646472827963216,103.30167535630326,1756.523735535986,,,,
41,PRUNED,-2.065934658050537,1.5609999457981814,0.7827694825112582,519.1571431458499,12.650586400967725,,,,
42,PRUNED,-1.3864836394786835,0.8053091823852558,0.7516859219791283,338.70825841398465,10.660245275301486,,,,
43,PRUNED,-2.2591212391853333,1.875665127061694,0.9078458228907603,196.24437427155146,10.358032067943702,,,,
44,COMPLETE,0.023132391273975372,1.6698317794138928,0.40392782621731316,619.7602899284408,14.977671557509192,"[0.036219965666532516, 0.01323302648961544, 0.01994418539106846]","[-1.3040273189544678, 0.5270599126815796, -1.5937721729278564]",0.023132391273975372,-0.7902465264002482
45,PRUNED,-1.6432181596755981,0.6229322106912403,0.431895999385235,1623.1744109171393,32.014087471992625,,,,
46,COMPLETE,0.03638157621026039,1.7122046245270555,0.38127613654423287,1114.6969373193203,16.638813627967327,"[0.06343930214643478, 0.021415013819932938, 0.024290408939123154]","[-5.547736167907715, 0.10138976573944092, -3.436601161956787]",0.03638157621026039,-2.9609825213750205
47,COMPLETE,0.03364818915724754,0.9316016663936777,0.5101587315924779,22.702726798306543,25.29911942822877,"[0.016813265159726143, 0.03654201328754425, 0.04758928343653679]","[0.3370622396469116, -1.381868839263916, -8.439477920532227]",0.03364818915724754,-3.161428173383077
48,PRUNED,-2.118285834789276,1.0904345543950633,0.2207507334933007,10.583090791717128,60.544269317218145,,,,
49,PRUNED,-1.3861474692821503,0.5179743091508938,0.050901417524853776,2844.024346997988,3312.4462097770656,,,,
